image,mask
Drishti_GS/train/image/gdrishtiGS_002.png,Drishti_GS/train/mask/gdrishtiGS_002.png
Drishti_GS/train/image/gdrishtiGS_004.png,Drishti_GS/train/mask/gdrishtiGS_004.png
Drishti_GS/train/image/gdrishtiGS_010.png,Drishti_GS/train/mask/gdrishtiGS_010.png
Drishti_GS/train/image/gdrishtiGS_012.png,Drishti_GS/train/mask/gdrishtiGS_012.png
Drishti_GS/train/image/gdrishtiGS_015.png,Drishti_GS/train/mask/gdrishtiGS_015.png
Drishti_GS/train/image/gdrishtiGS_016.png,Drishti_GS/train/mask/gdrishtiGS_016.png
Drishti_GS/train/image/gdrishtiGS_022.png,Drishti_GS/train/mask/gdrishtiGS_022.png
Drishti_GS/train/image/gdrishtiGS_024.png,Drishti_GS/train/mask/gdrishtiGS_024.png
Drishti_GS/train/image/gdrishtiGS_026.png,Drishti_GS/train/mask/gdrishtiGS_026.png
Drishti_GS/train/image/gdrishtiGS_031.png,Drishti_GS/train/mask/gdrishtiGS_031.png
Drishti_GS/train/image/gdrishtiGS_032.png,Drishti_GS/train/mask/gdrishtiGS_032.png
Drishti_GS/train/image/gdrishtiGS_038.png,Drishti_GS/train/mask/gdrishtiGS_038.png
Drishti_GS/train/image/gdrishtiGS_040.png,Drishti_GS/train/mask/gdrishtiGS_040.png
Drishti_GS/train/image/gdrishtiGS_044.png,Drishti_GS/train/mask/gdrishtiGS_044.png
Drishti_GS/train/image/gdrishtiGS_045.png,Drishti_GS/train/mask/gdrishtiGS_045.png
Drishti_GS/train/image/gdrishtiGS_049.png,Drishti_GS/train/mask/gdrishtiGS_049.png
Drishti_GS/train/image/gdrishtiGS_051.png,Drishti_GS/train/mask/gdrishtiGS_051.png
Drishti_GS/train/image/gdrishtiGS_058.png,Drishti_GS/train/mask/gdrishtiGS_058.png
Drishti_GS/train/image/gdrishtiGS_060.png,Drishti_GS/train/mask/gdrishtiGS_060.png
Drishti_GS/train/image/gdrishtiGS_061.png,Drishti_GS/train/mask/gdrishtiGS_061.png
Drishti_GS/train/image/gdrishtiGS_062.png,Drishti_GS/train/mask/gdrishtiGS_062.png
Drishti_GS/train/image/gdrishtiGS_063.png,Drishti_GS/train/mask/gdrishtiGS_063.png
Drishti_GS/train/image/gdrishtiGS_064.png,Drishti_GS/train/mask/gdrishtiGS_064.png
Drishti_GS/train/image/gdrishtiGS_066.png,Drishti_GS/train/mask/gdrishtiGS_066.png
